   144 92/09/07 0.06451 1.95034  1.08871  0.412 0.601                                                        
  4180 92/09/03 0.05761 2.02832  2.29823  0.489 0.353 162.33 273.25 0.111  0.042 35.462-44.471 0.4188  
  5394 92/09/05 0.05545 2.42807  8.27086  0.959 0.114 181.56 298.08 0.199  0.106 36.434-44.673 0.8184  
  5394 99/09/16 0.09358 2.10613  7.16334  1.528 0.130 179.68 318.52 0.165  0.105 35.405-46.441 0.7683  
  6811 92/09/03 0.08622 1.97271  1.21780  0.458 0.560 121.95 173.45 0.026 -0.002 38.388-42.037        0.0486 -0.0003
  9612 99/09/15 0.02886 2.21020  1.35619  0.321 0.522                                                        
 10144 91/08/26 0.09391 2.14650  1.61163  0.574 0.462                                                        
 10516 92/09/03 0.03693 2.43503  3.98589  0.494 0.222 229.96 376.05 0.194  0.035 34.622-45.707 0.8804  
 11606 99/09/26 0.01500 2.79581  5.36947  0.935 0.170 312.46 586.88 0.064 -0.007 34.037-46.940        0.3673 -0.0046
 18552 92/09/05 0.02907 2.20704  1.70176  0.419 0.444 254.73 355.00 0.047 -0.032 34.627-44.671        0.1581 -0.0317
 19243 99/09/27 0.01936 2.77570  7.35110  0.997 0.127 117.14 231.56 0.177  0.119 36.380-45.215 0.6283  
 20336 92/09/03 0.02355 2.41941  3.60870  0.514 0.242 286.77 392.28 0.037 -0.024 36.499-44.098        0.1045 -0.0389
 22192 92/09/05 0.09410 1.94324  2.31319  0.648 0.351 194.83 322.01 0.148 -0.259 36.734-44.256        0.5140 -0.1068
 22192 95/02/06 0.12141 1.87685  2.15660  0.557 0.371 182.14 323.49 0.172 -0.117 36.726-44.204        0.5757 -0.0472
 22192 99/09/16 0.09616 1.89058  2.37563  0.549 0.344 179.68 302.19 0.143 -0.268 36.701-43.835        0.4518 -0.1281
 22780 92/09/05 0.01773 2.38900  1.86757  0.541 0.415 322.01 419.43 0.020 -0.053 35.037-45.615        0.0659 -0.1010
 23016 91/08/28 0.04593 2.03105  1.23335  0.624 0.556                                                        
 23302 91/08/27 0.07889 2.00411  1.19616  0.565 0.567                                                        
 23480 91/08/28 0.03084 2.35020  2.00438  0.549 0.393 268.00 330.27 0.031 -0.062 36.924-44.606        0.0680 -0.0873
 23480 92/01/19 0.02235 2.52322  2.09255  0.521 0.380 281.52 327.54 0.024 -0.076 37.780-43.424        0.0353 -0.1261
 23552 92/09/08 0.03409 2.26934  1.59239  0.235 0.466 211.69 306.40 0.033 -0.014 37.635-43.563        0.0724 -0.0121
 23630 91/08/28 0.05751 2.26753  1.44437  0.526 0.500 194.91 243.64 0.027 -0.022 38.177-42.724        0.0471 -0.0192
 23630 92/01/19 0.06654 2.18464  1.40292  0.499 0.510 181.37 257.16 0.026 -0.019 38.291-42.994        0.0519 -0.0147
 23862 91/08/27 0.04287 2.09182  1.71790  0.670 0.441 176.10 265.50 0.122  0.011 36.280-44.046 0.4106  
 23862 92/01/20 0.02169 2.38401  1.94915  0.756 0.401 194.78        0.092 -0.014 37.262-40.591        0.2791 -0.0066
 23862 92/09/03 0.01912 2.37048  2.01447  0.890 0.391 186.99        0.094 -0.009 39.963-44.043        0.2780 -0.0035
 23862 99/09/16 0.05074 2.00258  1.35927  0.654 0.521 144.29 326.70 0.268  0.226 35.319-47.420 1.3927  
 24534 99/09/21 0.09105 2.77372 15.62562  0.721 0.062 204.16 315.76 0.073  0.024 36.671-43.883 0.2537  
 25940 95/02/06 0.06206 2.10340  1.84519  0.479 0.418  97.93 212.19 0.124  0.097 37.376-43.048 0.3822  
 25940 99/09/16 0.09064 1.86678  1.81098  0.520 0.424  87.12 209.63 0.131  0.106 37.860-43.103 0.3952  
 28497 90/02/03 0.04767 1.96905  2.61885  1.069 0.317 308.45 465.38 0.107  0.032 36.634-47.407 0.5430  
 28497 91/08/26 0.09264 2.08184  2.34847  1.112 0.347 148.97 384.60 0.068  0.057 37.373-46.157 0.3831  
 28497 92/01/17 0.08219 2.18572  2.39218  1.128 0.342 232.82 332.98 0.044  0.029 37.957-46.854 0.2120  
 28497 96/09/21 0.15847 1.84701  2.75421  1.751 0.304                                                        
 30076 90/02/04 0.15782 1.78787  2.79471  0.809 0.301 219.38 352.10 0.087  0.041 37.361-44.145 0.3660  
 30076 92/01/18 0.17107 2.03340  4.05609  1.197 0.219 192.30 303.34 0.104  0.031 37.525-44.544 0.3828  
 30076 96/09/21 0.03747 2.83062  4.57617  1.001 0.196 196.33 286.32 0.081  0.011 37.405-43.643 0.2513  
 32343 95/02/06 0.06550 2.00749  1.71840  0.327 0.441        144.24 0.358        37.634-42.795 0.7537  
 33328 90/02/04 0.08458 2.08639  2.06037  0.437 0.385                                                        
 33328 92/01/16 0.10257 2.20143  2.22119  0.865 0.363                                                        
 33328 96/09/21 0.18328 1.87394  2.10418  1.205 0.378                                                        
 35411 92/01/16 0.11084 2.10327  2.18838  0.668 0.367                                                        
 35439 92/01/19 0.00048 3.99103  6.45472  1.345 0.144                                                        
 36576 95/02/06 0.17508 1.87888  4.14190  0.939 0.215 225.63 375.15 0.072  0.034 37.141-45.170 0.3354  
 37202 92/01/19 0.08453 2.44874  3.48737  0.705 0.249 297.77 341.09 0.052 -0.686 37.998-42.858        0.0677 -1.0421
 37202 92/09/05 0.29596 1.86328  2.49626  0.395 0.330 279.19 346.95 0.105 -0.562 37.528-43.964        0.2694 -0.5902
 37202 94/11/12 0.25993 1.57485  3.74414  1.749 0.234 275.96 311.13 0.050 -0.270 38.265-43.788        0.0997 -0.3146
 37202 95/02/06 0.03202 2.81346  4.57758  1.000 0.196 364.53        0.046 -0.143 34.847-43.788        0.1199 -0.2141
 37202 99/09/16 0.12156 2.15526  3.16220  1.486 0.271 310.37 378.43 0.045 -0.140 36.866-44.552        0.1040 -0.1818
 37490 90/02/03 0.01570 2.67894  4.42817  0.826 0.202 276.34 476.82 0.057 -0.093 36.397-44.987        0.2088 -0.1385
 37490 92/01/18 0.05489 2.54512  3.69115  0.939 0.237 241.05 425.22 0.096 -0.039 36.281-45.614        0.3757 -0.0401
 37795 92/01/16 0.04860 2.17485  1.37740  0.893 0.516 187.02 292.72 0.052  0.017 36.748-44.910 0.1843  
 41335 90/02/04 0.08213 1.99325  2.36638  0.957 0.345 210.99 394.92 0.217  0.145 36.909-47.914 1.2271  
 41335 92/01/17 0.14209 1.89856  2.79961  0.554 0.300 205.75 379.01 0.209  0.131 35.713-46.335 1.1224  
