   144 92/09/07  0.387 0.915 2.880 66.126-75.295 0.275
  4180 92/09/04  0.415 0.864 4.818 66.597-75.235 0.660
  5394 92/09/07 -0.071 0.918 8.141 61.083-78.071 0.673
  5394 99/09/23  0.033 0.916 8.835 60.775-78.641 0.703
  6811 92/09/04  0.554 0.846 2.179 65.165-76.943 0.460
  9612 99/09/17  0.411 0.954 5.556 65.444-76.144 0.253
 10144 91/08/26 -0.181 0.840 5.818 60.594-77.430 1.034
 10516 92/09/04 -0.035 0.868 9.137 63.101-78.295 1.147
 11606 99/09/28 -0.147 0.841 6.703 59.799-77.438 1.166
 18552 92/09/07  0.167 0.943 6.437 65.935-76.251 0.361
 19243 99/09/23  0.264 0.841 3.704 63.797-78.173 0.734
 20336 92/09/04  0.564 0.836 8.141 58.780-77.207 1.433
 20336 92/09/04  0.564 0.836 8.141 58.780-71.564 1.651
 22192 92/09/07  0.541 0.886 6.820 63.193-76.656 0.820
 22192 92/09/07  0.541 0.886 6.820 63.164-71.541 0.864
 22192 95/02/06  0.176 0.892 6.908 62.974-76.820 0.749
 22192 99/09/21  0.647 0.886 7.055 62.651-76.850 0.803
 22780 92/09/07  0.266 0.910 6.496 61.506-76.910 0.623
 23016 91/08/28  0.475 0.924 5.176 66.858-76.033 0.378
 23302 91/08/27  0.150 0.877 4.145 65.654-76.089 0.538
 23480 91/08/28  0.004 0.902 5.646 66.770-76.592 0.518
 23480 92/01/19  0.458 0.901 5.377 66.904-76.248 0.521
 23630 91/08/28  0.416 0.901 3.617 67.710-77.209 0.404
 23630 92/01/19  0.636 0.903 3.496 67.375-75.543 0.357
 23862 91/08/27  0.532 0.927 5.408 66.389-75.853 0.367
 23862 92/01/20  1.174 0.942 6.372 66.830-75.639 0.328
 23862 92/09/04  0.873 0.940 4.702 66.671-76.310 0.356
 23862 95/02/11  1.166 0.939 5.019 67.235-76.685 0.347
 23862 95/07/27  0.989 0.937 5.180 67.074-76.875 0.367
 23862 95/09/06  0.854 0.942 4.953 67.048-76.368 0.327
 23862 95/11/01  0.794 0.943 6.027 67.266-76.526 0.327
 23862 96/01/30  0.911 0.945 6.203 67.208-76.438 0.309
 23862 96/02/19  1.058 0.942 6.350 67.119-76.262 0.327
 23862 98/09/29  0.735 0.945 6.262 67.355-76.291 0.317
 23862 99/09/21  0.647 0.947 6.438 67.443-76.380 0.316
 24534 99/09/17 -0.529 0.912 5.497 62.475-77.320 0.512
 25940 95/02/06  0.353 0.837 4.792 63.650-76.909 0.863
 25940 96/01/31  0.264 0.839 4.615 62.945-76.762 0.845
 25940 99/09/23  0.353 0.846 4.821 62.945-76.850 0.821
 28497 90/02/03 -0.336 0.872 7.440 60.578-75.163 0.939
 28497 90/02/03 -0.336 0.872 7.440 60.960-70.664 0.974
 28497 91/08/26  0.247 0.863 9.051 62.167-76.742 1.201
 28497 91/08/26  0.247 0.863 9.051 62.167-71.247 1.290
 28497 92/01/17  1.111 0.859 8.342 62.154-77.280 1.190
 28497 96/09/21  0.911 0.865 8.408 61.769-77.320 1.151
 28497 96/09/21  0.911 0.865 8.408 61.710-71.911 1.276
 30076 90/02/04  1.177 0.864 5.711 64.730-76.651 0.819
 30076 92/01/18  1.120 0.828 4.643 64.421-76.264 0.841
 30076 96/09/21  1.166 0.843 5.436 62.049-78.136 0.989
 32343 95/02/06  0.176 0.736 3.087 61.945-79.496 1.108
 33328 90/02/04  0.771 0.841 7.611 62.250-76.707 1.212
 33328 90/02/04  0.771 0.841 7.611 62.309-71.771 1.350
 33328 92/01/16 -0.172 0.842 7.515 60.906-76.553 1.177
 33328 92/01/16 -0.172 0.842 7.515 60.847-70.828 0.152
 33328 96/09/21  0.735 0.847 7.908 62.239-76.526 1.205
 33328 96/09/21  0.735 0.847 7.908 62.239-71.735 1.346
 35411 92/01/16  0.313 0.722 3.499 62.344-77.282 1.340
 35439 92/01/19 -0.219 0.859 6.023 61.320-75.893 0.868
 36576 95/02/06  0.576 0.869 6.366 60.945-78.005 0.920
 37202 92/01/19  0.390 0.888 5.927 62.935-76.474 1.443
 37202 92/09/07  0.088 0.791 6.640 62.623-77.732 1.499
 37202 92/10/01  0.431 0.777 6.009 62.494-77.110 1.423
 37202 95/02/06  0.363 0.799 6.750 60.043-77.721 1.525
 37202 96/01/30  0.843 0.758 6.064 61.053-77.831 1.771
 37202 99/09/21  0.623 0.797 6.667 63.886-78.408 1.514
 37490 90/02/03  0.664 0.799 4.440 62.225-75.193 0.947
 37490 92/01/18  0.576 0.790 4.290 61.555-75.161 0.991
 37795 92/01/16  0.930 0.904 4.323 67.754-76.459 0.424
 41335 90/02/04  0.164 0.890 8.198 64.612-76.189 0.827
 41335 90/02/04  0.164 0.890 8.198 64.612-71.164 0.842
 41335 92/01/17  1.003 0.880 8.032 62.117-75.857 0.907
 41335 92/01/17  1.003 0.880 8.032 61.912-72.003 1.147
 41335 92/01/20  0.763 0.879 8.046 60.604-76.079 0.970
 41335 92/01/20  0.763 0.879 8.046 60.663-71.763 1.169
 41335 95/02/06  0.647 0.890 9.348 63.974-79.437 1.035
 41335 95/02/06  0.647 0.890 9.348 63.915-71.647 0.942
 41335 96/03/06  0.558 0.868 9.113 59.917-79.084 1.300
 41335 96/03/06  0.558 0.868 9.113 59.888-71.558 1.313
 44458 90/02/02  0.845 0.860 6.261 63.056-77.488 0.919
 44458 92/01/18  0.647 0.855 5.968 63.562-77.467 0.886
 45725 90/02/06  0.541 0.825 7.216 63.565-77.262 1.199
 45725 92/01/16  0.143 0.822 7.189 59.657-77.742 1.390
 45725 96/03/08  0.102 0.831 7.984 59.336-77.731 1.478
 45995 95/02/06  0.823 0.834 6.673 59.505-77.056 1.258
 45995 95/02/06  0.823 0.834 6.673 59.447-71.823 1.446
 47054 90/02/04  1.096 0.929 4.525 67.894-75.534 0.318
 47054 92/01/18  1.268 0.922 4.827 68.030-76.507 0.365
 47054 96/03/08  0.921 0.923 5.310 66.111-76.918 0.403
 48917 90/02/03  0.953 0.848 5.235 62.308-75.629 0.874
 48917 92/01/19  0.308 0.838 4.966 61.524-75.657 0.901
 48917 96/03/08  0.647 0.837 5.321 64.268-77.996 1.009
 50013 90/02/02  0.385 0.860 6.085 62.537-77.734 0.945
 50013 92/01/15 -0.061 0.856 5.503 61.875-77.737 0.906
 54309 90/02/06  0.949 0.802 4.938 63.013-76.975 1.104
 54309 92/01/15  1.190 0.819 4.973 63.567-75.898 0.962
 56014 92/01/20  0.482 0.845 7.342 61.468-78.999 1.222
 56014 96/03/08  0.527 0.860 6.530 61.769-77.526 1.025
 56139 90/02/03  1.078 0.697 2.764 63.050-76.312 1.038
 56139 92/01/15  1.268 0.695 2.615 66.539-75.999 0.922
 57219 90/02/06  0.664 0.676 2.851 63.023-76.132 1.200
 57219 92/01/19  0.532 0.681 2.973 62.437-76.270 1.193
 58050 95/02/06  0.441 0.731 4.292 59.917-79.437 1.536
 58050 96/02/20  0.823 0.758 4.057 60.593-79.496 1.293
 58343 90/02/04  0.542 0.664 1.558 66.135-75.421 0.817
 58343 92/01/19  0.328 0.638 1.440 64.658-75.706 0.964
 58978 90/02/06  0.966 0.858 6.530 62.810-79.359 1.322
 58978 92/01/17  1.003 0.831 4.729 61.840-78.847 1.102
 60606 90/02/06  0.777 0.852 6.849 65.516-77.097 0.992
 60606 92/01/20  0.392 0.860 6.578 62.876-78.587 0.993
 63462 90/02/02  0.487 0.908 8.907 61.228-79.482 0.843
 63462 92/01/16  1.090 0.911 8.925 61.991-78.432 0.796
 66194 90/02/07  1.111 0.804 5.533 63.518-76.114 1.174
 66194 92/01/20  1.256 0.791 5.471 63.637-77.434 1.218
 68980 90/02/03  0.769 0.837 3.853 62.594-76.033 0.743
 68980 92/01/15  0.539 0.797 3.438 62.254-77.209 0.970
 75311 90/02/03  0.802 0.827 6.870 64.433-76.646 1.178
 75311 92/01/17  0.298 0.821 7.062 61.118-77.301 1.350
 77320 90/02/07  0.938 0.837 8.108 61.068-77.637 1.316
 77320 92/01/18  0.479 0.861 8.611 63.251-77.974 1.193
 83953 90/02/02  1.114 0.885 6.085 65.764-77.288 0.709
 83953 92/01/17  0.418 0.881 6.267 61.914-76.979 0.793
 86612 90/02/03  1.324 0.832 4.823 64.501-77.764 0.852
 86612 92/01/15  0.531 0.813 4.856 63.172-78.123 1.061
 88661 90/02/06  0.945 0.843 6.467 62.304-77.060 1.041
 88661 92/01/17 -0.378 0.821 5.288 61.780-76.644 1.063
 88661 96/03/06  0.441 0.832 5.791 62.945-77.379 1.106
 89080 92/01/20 -0.837 0.948 5.697 66.639-75.243 0.275
 91120 90/02/04  0.766 0.968 4.622 67.379-75.534 0.139
 91120 92/01/18  0.091 0.972 4.790 67.300-74.118 0.111
 91465 90/02/02 -0.298 0.859 6.791 66.116-76.875 0.914
 91465 92/01/15  0.191 0.850 6.905 61.437-77.655 1.110
 91465 96/03/06  0.323 0.859 6.820 61.769-77.526 1.021
105435 90/02/03  0.947 0.823 6.019 62.317-77.965 1.170
105435 91/08/27  0.432 0.837 6.586 60.524-78.607 1.204
105435 92/01/15  0.232 0.843 6.710 61.756-76.353 1.082
105435 96/03/06  0.323 0.848 6.585 62.004-78.143 1.078
105521 96/03/06  0.206 0.807 3.234 61.299-77.291 0.847
109387 95/02/07  0.264 0.877 4.704 62.181-77.673 0.652
110432 90/02/02  0.315 0.921 5.821 63.437-78.547 0.563
110432 92/01/18  0.717 0.924 7.729 62.607-78.124 0.598
112078 90/02/07  0.147 0.861 8.079 61.981-78.374 1.158
