   144 92/09/07    -0.005 0.884              2.998 78.597-83.732 0.335
  4180 92/09/04    -0.260 0.940              3.390 78.460-83.849 0.204
  5394 92/09/07    -0.671 0.978              3.076 78.244-83.849 0.065
  5394 99/09/23     0.211 0.982                    78.675-83.947 0.073
  6811 92/09/04    -0.005 0.856              1.763 79.067-83.947 0.276
  9612 99/09/17    -0.064 0.932              5.859 76.167-85.358 0.379
 10144 91/08/26     0.152 0.943              5.428 77.402-85.888 0.285
 10516 92/09/04    -0.162 0.938              3.919 78.597-85.652 0.231
 18552 92/09/07    -0.044 0.938              5.565 76.637-85.927 0.348
 19243 99/09/23    -0.416 0.968              2.293 78.185-84.359 0.025 -0.068
 19243 99/09/23 e1              -2.513 1.010 
 19243 99/09/23 e2               2.229 1.015 
 20336 92/09/04     0.034 0.930              5.389 77.245-85.613 0.331
 22192 92/09/07     0.191 0.915              4.840 76.872-85.966 0.436
 22192 95/02/06     0.191 0.926              4.782 76.931-85.358 0.366
 22192 99/09/21     0.034 0.929              5.271 76.872-85.084 0.358
 22780 92/09/07     0.152 0.948              6.212 76.872-86.084 0.312
 23016 91/08/28     1.210 0.940              6.193 77.147-85.711 0.324
 23302 91/08/27     0.309 0.917              4.115 78.519-84.163 0.306
 23480 91/08/28     0.407 0.935              5.330 77.676-85.182 0.306
 23480 92/01/19     0.563 0.930              4.684 77.402-84.927 0.313
 23630 91/08/28     0.211 0.906              3.704 78.675-84.516 0.325
 23630 92/01/19     0.367 0.912              3.586 78.342-83.889 0.293
 23862 91/08/27    -0.416 0.916              5.252 76.676-85.672 0.433
 23862 92/01/20    -0.220 0.913              4.840 76.676-85.966 0.425
 23862 92/09/04    -0.220 0.915              5.291 76.363-86.240 0.453
 23862 95/02/11     0.211 0.933              6.055 76.951-85.966 0.369
 23862 95/07/27     0.407 0.931              6.153 76.833-85.986 0.397
 23862 95/09/06     0.583 0.939              5.742 76.833-85.809 0.336
 23862 95/11/01     0.505 0.938              5.840 77.049-85.809 0.334
 23862 96/01/30     0.583 0.942              5.761 76.735-85.554 0.316
 23862 96/02/19     0.661 0.942              5.840 76.951-85.554 0.318
 23862 98/09/29     0.622 0.963              8.152 76.324-85.888 0.263
 23862 99/09/21    -0.201 0.965              7.290 76.324-85.770 0.241
 24534 99/09/17    -0.392 0.995                    77.326-84.945 0.044 -0.009
 24534 99/09/17 e1              -3.215 1.017 
 24534 99/09/17 e2               2.500 1.017 
 25940 95/02/06     0.366 0.929              4.568 76.673-86.162 0.334
 25940 96/01/31     0.137 0.931              4.885 77.184-86.833 0.328
 25940 99/09/23     0.031 0.941              4.885 77.308-86.339 0.287
 30076 90/02/04     0.666 0.953              4.145 78.631-84.575 0.184
 30076 92/01/18     0.613 0.954              3.016 78.172-85.457 0.017 -0.139
 30076 92/01/18 e1              -2.368 1.013 
 30076 92/01/18 e2               3.770 1.012 
 30076 96/09/21     0.736 0.954              4.003 78.437-84.610 0.179
 32343 95/02/06    -0.339 0.904              1.411 79.619-82.882 0.144
 35411 92/01/16    -0.181 0.928              0.899
 35439 92/01/19    -0.375 0.976              4.427 76.056-87.291 0.042 -0.102
 35439 92/01/19 e1              -4.608 1.016 
 35439 92/01/19 e2               4.088 1.018 
 36576 95/02/06     0.701 0.971              3.951 78.013-84.469 0.116
 37202 92/01/19     0.313 0.821              1.781 77.925-84.293 0.403
 37202 92/09/07    -0.463 0.864              2.204 78.013-84.328 0.397
 37202 92/10/01    -0.428 0.851              2.116 77.731-84.293 0.428
 37202 95/02/06    -0.234 0.849              1.887 77.925-85.792 0.463
 37202 96/01/30     1.160 0.768              1.781 78.119-85.933 0.590
 37202 99/09/21     0.877 0.860              2.451 78.719-85.968 0.436
 37490 90/02/03     0.137 0.945              3.351 78.366-85.686 0.036 -0.167
 37490 90/02/03 e1              -2.315 1.022 
 37490 90/02/03 e2               3.100 1.031 
 37490 92/01/18     0.366 0.944              4.127 77.802-85.739 0.011 -0.216
 37490 92/01/18 e1              -3.109 1.005 
 37490 92/01/18 e2               3.841 1.010 
 37795 92/01/16     0.754 0.933              3.774 78.313-84.787 0.254
 44458 90/02/02     0.613 0.955              5.097 77.414-86.356 0.216
 44458 92/01/18     0.595 0.954              4.656 78.031-86.356 0.019 -0.195
 44458 92/01/18 e1              -2.286 1.012 
 44458 92/01/18 e2               4.264 1.019 
 45725 90/02/06     0.384 0.902              3.386 78.349-85.968 0.392
 45725 92/01/16     0.384 0.906              3.333 78.507-86.498 0.373
 45725 96/03/08     0.525 0.914              4.321 78.454-86.833 0.395
 45995 95/02/06     0.190 0.951              4.850 78.013-85.422 0.226
 47054 90/02/04     0.595 0.941              4.762 77.802-85.968 0.269
 47054 92/01/18     0.789 0.935              4.709 77.308-85.633 0.301
 47054 96/03/08     0.736 0.937              5.221 77.096-86.074 0.310
 48917 90/02/03     0.384 0.961              2.963 77.784-85.739 0.023 -0.117
 48917 90/02/03 e1              -2.774 1.009 
 48917 90/02/03 e2               3.664 1.022 
 48917 92/01/19     0.419 0.959              3.333 77.608-85.845 0.050 -0.122
 48917 92/01/19 e1              -3.020 1.022 
 48917 92/01/19 e2               3.558 1.028 
 48917 96/03/08     0.313 0.969              2.822 78.031-85.739 0.040 -0.084
 48917 96/03/08 e1              -2.774 1.007 
 48917 96/03/08 e2               3.629 1.025 
 50013 90/02/02                                    77.784-83.869 0.107
 50013 92/01/15     0.031 0.976              2.487 77.890-85.369 0.027 -0.054
 50013 92/01/15 e1              -3.056 1.001 
 50013 92/01/15 e2               2.906 1.021 
 54309 90/02/06     0.454 0.946              4.638 77.520-85.175 0.252
 54309 92/01/15     0.472 0.951              3.386 78.578-85.281 0.006 -0.166
 54309 92/01/15 e2               3.611 1.015 
 56014 92/01/20                                    78.790-84.804 0.132
 56014 96/03/08    -0.392 0.958              4.885 77.555-86.480 0.208
 56139 90/02/03     0.525 0.878              1.940 79.813-83.428 0.239
 56139 92/01/15     0.754 0.844              1.393 79.671-83.340 0.240
 57219 90/02/06     0.137 0.899              1.746 79.901-83.023 0.167
 57219 92/01/19     0.101 0.896              1.693 79.918-82.917 0.181
 58050 95/02/06    -0.181 0.938              2.628 79.636-83.376 0.153
 58050 96/02/20     0.366 0.947              2.575 78.596-84.293 0.006 -0.138
 58050 96/02/20 e1              -1.662 0.995 
 58050 96/02/20 e2               2.729 1.007 
 58343 90/02/04    -0.040 0.869              0.793 80.095-81.929 0.004 -0.101
 58343 90/02/04 e1              -0.886 1.017 
 58343 92/01/19    -0.251 0.849              0.670 80.007-82.211 0.038 -0.099
 58343 92/01/19 e1              -0.886 1.055 
 58343 92/01/19 e2               0.595 1.050 
 58978 90/02/06     1.177 0.956              3.563 79.336-85.492 0.154
 58978 92/01/17     0.930 0.945              3.122 79.301-84.857 0.174
 60606 90/02/06     0.454 0.931              4.744 76.990-85.880 0.339
 60606 92/01/20     0.331 0.946              3.545 78.507-85.086 0.207
 63462 90/02/02     1.124 0.977              4.092 79.477-84.575 0.080
 66194 90/02/07                                    77.132-84.716 0.264
 66194 92/01/20     0.895 0.957              3.386 78.931-85.739 0.029 -0.128
 66194 92/01/20 e2               3.488 1.035 
 68980 90/02/03                                    78.366-85.210 0.070 -0.013
 68980 90/02/03 e1              -1.698 1.020 
 68980 90/02/03 e2               2.906 1.037 
 68980 92/01/15    -0.093 0.966              1.852 78.172-84.046 0.075 -0.057
 68980 92/01/15 e1              -2.068 1.026 
 68980 92/01/15 e2               2.059 1.056 
 75311 90/02/03    -0.004 0.957              7.161 77.026-85.933 0.278
 75311 92/01/17    -0.110 0.953              6.720 77.378-86.692 0.286
 77320 90/02/07     0.842 0.936              6.861 77.520-86.445 0.383
 77320 92/01/18     0.507 0.946              6.014 77.220-86.057 0.295
 83953 90/02/02     0.789 0.949              5.573 77.308-86.057 0.276
 83953 92/01/17     0.384 0.952              5.556 76.990-85.457 0.241
 86612 90/02/03     0.384 0.945              2.857 77.749-85.422 0.039 -0.159
 86612 90/02/03 e1              -2.915 1.015 
 86612 90/02/03 e2               3.241 1.027 
 86612 92/01/15     0.560 0.932              3.210 78.119-85.457 0.020 -0.205
 86612 92/01/15 e1              -2.597 1.014 
 86612 92/01/15 e2               3.329 1.015 
