alpha Eri,10144,01 37 42.8,-57 14 12.4,aeri,2,RR,0.30,0.50,Be,,,4.79,1.91,0.49,0.22,0.00
17 Tau,23302,03 44 52.54,+24 06 48.01,17tau,2,,3.59,3.7,Be,B6IIIe,3.88,,,,,
19 Tau,23338,03 45 12.50,+24 28 02.21,19tau,2,,4.19,4.3,?,B6IV,4.59,,,,,
20 Tau,23408,03 45 49.61,+24 22 03.89,20tau,2,,3.8,3.87,?,B8III,4.12,,,,,
23 Tau,23480,03 46 19.57,+23 56 54.08,23tau,2,,4.12,4.18,?,B6IVe,4.22,,,,,
eta Tau,23630,03 47 29.08,+24 06 18.49,etau,2,,2.78,2.87,Be,B7III,2.97,,,,,
28 Tau,23862,03 49 11.2,+24 08 12.1,28tau,2,,4.97,5.05,Be,,5.10,#REF!,#REF!,#REF!,#REF!,#REF!
228 Eri,28497,04 29 06.9,-13 02 54.1,228eri,2,,5.39,5.59,,,,,,,,
56 Eri,30076,04 44 05.32,-08 30 12.84,56eri,2,,5.75,5.81,Be,B2Ve,5.65,,,,,
105 Tau,32991,05 07 55.44,+21 42 17.36,105tau,2,,6.08,5.92,Be,B2Ve,4.96,,,,,
lambda Eri,33328,05 09 08.8,-08 45 14.7,leri,2,,4.07,4.25,Be,,4.80,4.79,1.91,0.49,0.22,0.00
psi 1 Ori,35439,05 24 44.83,+01 50 47.20,pori,2,,4.76,4.96,Be,B1Vpe,5.42,,,,,
HD 35502,35502,05 25 01.2,-02 48 55.69,h35502,1,,7.29,7.33,Mag.?,,,,,,,
delta Ori C,36485,05 32 00.4,-00 17 04.5,dori,2,,6.69,6.85,Mag.?,,,,,,,
120 Tau,36576,05 33 31.63,+18 32 24.83,120tau,2,,5.7,5.69,Be,B2IV-Ve,5065,,,,,
theta 1 Ori C,37022,05 35 16.5,-05 23 22.9,tori,2,,5.15,5.13,Mag/DSM,O4-6V,,,,,,
HR 1890,37017,05 35 21.9,-04 29 39.0,hr1890,1,,6.41,6.55,Mag.?,,,,,,,
zeta Tau,37202,05 37 38.0,+21 08 33.2,ztau,2,RR,2.84,3.03,Be,,3.00,4.79,1.91,0.49,0.22,0.00
sigma Ori E,37468,05 38 47.2,-02 35 40.5,sori,2,RR,6.66,3.80,RRM,,4.60,4.79,1.91,0.49,0.22,0.00
V725 Tau,245770,05 38 54.6,+26 18 56.8,v725tau,1,CN,9.65,9.19,,,8.30,1.91,0.76,0.19,0.09,0.00
omega Ori,37490,05 39 11.1,+04 07 17.3,oori,2,,4.46,4.57,Be,B3IIIe,,,,,,
alpha Col,37795,05 39 38.9,-34 04 26.6,acol,2,,2.52,2.60,Be/Jet,B7IVe,,,,,,
HD 37776,37776,05 40 56.4,-01 30 25.9,h37776,2,,6.84,6.98,Mag/RRM,B2,,,,,,
HR 2142,41335,06 04 13.5,-06 42 32.2,hr2142,2,,5.17,5.25,,,,4.79,1.91,0.49,0.22,0.00
